"integration_name","integration_company","integration_type","integration_url","integration_logo","integration_logo_url","integration_description","image_integration_homepage","image_integration_homepage_url","integration_seo"
"Codebase","aTech Media","Source Code Escrow","https://www.codebasehq.com","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d9604712a8fa20010cb7450/thumb/knipsel.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d9604712a8fa20010cb7450/original/knipsel.png","Codebase is packed with features to help you manage your code and your project with ease.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d96048d954e000010f761e5/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d96048d954e000010f761e5/original/screenshot.png","Use Codebase for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
"RepositoryHosting","","Source Code Escrow","https://repositoryhosting.com","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d9601b1ae44c30010291827/thumb/knipsel.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d9601b1ae44c30010291827/original/knipsel.png","Create as many Subversion, Git, and Mercurial repositories as you want, and connect via SSH or HTTPS","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d9601ca213e69001370c66f/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d9601ca213e69001370c66f/original/screenshot.png","Use RespositoryHosting for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
"Helix Core","Perforce Software, Inc.","Source Code Escrow","https://www.perforce.com/products/helix-core","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d96008cc1a3d600136b69f6/thumb/logohelixcorevert1.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d96008cc1a3d600136b69f6/original/logohelixcorevert1.png","Helix Core tracks and manages changes to your source code, digital assets, and large binary files. ","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d9600a7f38997001038619f/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d9600a7f38997001038619f/original/screenshot.png","Use Helix Core for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
"Savannah","Free Software Foundation","Source Code Escrow","https://savannah.gnu.org","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95ff936d711500106d97a2/thumb/gnu_meditate_levitate.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95ff936d711500106d97a2/original/gnu_meditate_levitate.png","GNU Savannah is a project which serves as a collaborative software development management system for free Software projects.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95ff8eeb9a3e0010b44a6d/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95ff8eeb9a3e0010b44a6d/original/screenshot.png","Use Savannah for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
"Beanstalk","Wildbit","Source Code Escrow","https://beanstalkapp.com","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95fe3888fac300117baf2d/thumb/logobeanstalk.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95fe3888fac300117baf2d/original/logobeanstalk.png","A complete workflow to write, review and deploy code.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95fea328477100107e5322/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95fea328477100107e5322/original/screenshot.png","Use Beanstalk for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
"Assembla","Assembla","Source Code Escrow","https://www.assembla.com","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95fb3288fac300117bad75/thumb/assemblalogo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95fb3288fac300117bad75/original/assemblalogo.png","Assembla is a web-based version control and source code management SaaS provider for enterprise.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95fb8285270a0012c6d59b/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95fb8285270a0012c6d59b/original/screenshot.png","Use Assembla for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
"Mercurial","","Source Code Escrow","https://www.mercurial-scm.org","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95f8e026ebcf001154489f/thumb/mercuriallogo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95f8e026ebcf001154489f/original/mercuriallogo.png","Mercurial is a free, distributed source control management tool. It efficiently handles projects of any size and offers an easy and intuitive interface.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95f8febce8b100101ee061/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95f8febce8b100101ee061/original/screenshot.png","Use Mercurial for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
"Perforce","Perforce Software, Inc.","Source Code Escrow","https://www.perforce.com","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95f71020f0ff0010b7d465/thumb/perforcelogo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95f71020f0ff0010b7d465/original/perforcelogo.png","Perforce is a developer of software used for application development, including version control software, web-based repository management, developer collaboration, application lifecycle management and Agile planning software. ","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95f832d4700800123a8e20/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95f832d4700800123a8e20/original/screenshot.png","Use Perforce for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
"ProjectLocker","","Source Code Escrow","https://projectlocker.com","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95f3384642d80011e628b1/thumb/projectlockerlogo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95f3384642d80011e628b1/original/projectlockerlogo.png","ProjectLocker is cloud-based Subversion hosting, Git hosting, and Trac hosting for software development teams.<br />","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95f286c9b657001349b53f/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95f286c9b657001349b53f/original/screenshot.png","Use ProjectLocker for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
"CloudForge","CollabNet","Source Code Escrow","https://www.cloudforge.com","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95f099815f57001070d233/thumb/cloudforgelogo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95f099815f57001070d233/original/cloudforgelogo.png","CloudForge is a software-as-a-service product for application development tools and services, such as Git hosting, Subversion hosting, issue trackers and Application Lifecycle Management.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95f0c0f389970010385345/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95f0c0f389970010385345/original/screenshot.png","Use CloudForge for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
