"integration_name","integration_company","integration_type","integration_url","integration_logo","integration_logo_url","integration_purpose","integration_description","image_integration_homepage","image_integration_homepage_url","integration_seo","integration_privacy_email"
"Solve CRM","Norada","Zapier","https://solve360.com/","","","customer relationship management","Solve is a productivity CRM for teams to manage customer workflows. Simplify all record keeping, scheduling, communication and information sharing - especially when mobile.","","","Use Solve CRM for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","customercare@norada.com"
"LeadSquared","LeadSquared Inc.","Zapier","https://www.leadsquared.com/","","","sales and marketing","LeadSquared is a marketing automation and CRM solution that helps small to medium-sized businesses drive revenue by aligning their marketing and sales activities.","","","Use LeadSquared for sales and marketing? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@leadsquared.com"
"essensys Operate","essensys Inc,","Zapier","https://essensys.tech/","","","workspace management","essensys Operate is a workspace management platform that helps space-as-a-service operators run their workspace from lead to cash and everything in between.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db64931fa7e76001554a8d8/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db64931fa7e76001554a8d8/original/screenshot.png","Use essensys Operate for your workspace management? LegalSite integrates directly so you can be GDPR/privacy compliant!","help@essensys.tech"
"Tolq","Tolq.com BV","API","https://www.tolq.com","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5d4d6a6a6d53f60010f5e452/thumb/tolqlogo2.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5d4d6a6a6d53f60010f5e452/original/tolqlogo2.png","translation","The translation solution built for e-commerce. Tolq provides all pieces of the puzzle in one single integrated solution. From all the required technology to professional human translators, we cover the entire spectrum.<br />","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5d4d6aec263e190011bb95f2/thumb/screenshot20190809at14.44.18.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5d4d6aec263e190011bb95f2/original/screenshot20190809at14.44.18.png","Use Tolq for your translations? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@tolq.com"
"Slack","Slack, Inc.","Zapier","https://slack.com","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5d5178e99fc66b00149a7ef1/thumb/5cb480b85f1b6d3fbadece78.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5d5178e99fc66b00149a7ef1/original/5cb480b85f1b6d3fbadece78.png","communication","Slack is a platform for team communication: everything in one place, instantly searchable, available wherever you go. Offering instant messaging, document sharing and knowledge search for modern teams.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5d8deecf2138860012979ed7/thumb/screenshot20190927at13.13.02.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5d8deecf2138860012979ed7/original/screenshot20190927at13.13.02.png","Use Slack as a communication channel? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@slack.com"
"Google Sheets","Google, Inc.","Zapier","https://www.google.com/sheets/about/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5d53f9dea51472001037ce01/thumb/8913a06feb7556d01285c052e4ad59d0.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5d53f9dea51472001037ce01/original/8913a06feb7556d01285c052e4ad59d0.png","spreadsheet creation","Create, edit, and share spreadsheets wherever you are with Google Sheets, and get automated insights from your data.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5d53fa079e1d9700103fdf34/thumb/screenshot20190814at14.09.30.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5d53fa079e1d9700103fdf34/original/screenshot20190814at14.09.30.png","Use Google Sheets for your spreadsheet creation? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@google.com"
"Hubspot","HubSpot, Inc.","Zapier","https://www.hubspot.com","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5d8a1ca8fd798e0012699e8e/thumb/5842a629a6515b1e0ad75afa.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5d8a1ca8fd798e0012699e8e/original/5842a629a6515b1e0ad75afa.png","customer relationship management","HubSpot is your all-in-one stop for all of your marketing software needs.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5d8a1b0200ddc8001239c5a5/thumb/screenshothubspot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5d8a1b0200ddc8001239c5a5/original/screenshothubspot.png","Use Hubspot for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@hubspot.com"
"Pipedrive","Pipedrive, Inc.","Zapier","https://www.pipedrive.com","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5da4573f2cc11500165095a2/thumb/5b3c8f779357a48ff2188197.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5da4573f2cc11500165095a2/original/5b3c8f779357a48ff2188197.png","sales management software","Pipedrive is sales pipeline and CRM software for deal makers. Get super-organized. Close deals in less time. iOS and Android apps let you take your pipeline with you anywhere.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5da4565bdcd67300162c29c8/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5da4565bdcd67300162c29c8/original/screenshot.png","Use Pipedrive for your sales management software? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@pipedrive.com"
"HubSpot CRM","HubSpot, Inc.","Zapier","https://www.hubspot.com/products/crm","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac66c2601bf0001679259e/thumb/hubspotcrmlogo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac66c2601bf0001679259e/original/hubspotcrmlogo.png","contact management","HubSpot CRM automatically logs emails with your contacts. It helps sales teams navigate and chart opportunities by tracking email conversations, contacts, companies, deals, and tasks all in one seamless package.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac66e5dd3c31001784f3bb/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac66e5dd3c31001784f3bb/original/screenshot.png","Use HubSpot CRM for your contact management? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@hubspot.com"
"Salesforce","salesforce.com, inc.","Zapier","https://www.salesforce.com/?ir=1","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6914b939f9001558612e/thumb/58482f67cef1014c0b5e4a81.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6914b939f9001558612e/original/58482f67cef1014c0b5e4a81.png","customer relationship management","Salesforce is a leading enterprise customer relationship manager (CRM) application.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac690fdf9a610018e3d2d7/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac690fdf9a610018e3d2d7/original/screenshot.png","Use Salesforce for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!",""
